0,1,13,3,0
0.125,7,13,3,2
0.25,36,13,3,4
0.5,50,13,3,6
1,71,13,3,9
2,86,13,3,15
3,101,13,4,21
4,116,14,5,27
5,131,15,6,33
6,146,15,6,39
7,161,15,6,45
8,176,16,7,51
9,191,16,7,57
10,206,17,7,63
11,221,17,8,69
12,236,17,8,75
13,251,18,8,81
14,266,18,8,87
15,281,18,8,93
16,296,18,9,99
17,311,19,10,105
18,326,19,10,111
19,341,19,10,117
20,356,19,10,123
21,401,19,11,141
22,446,19,11,159
23,491,19,11,177
24,536,19,12,195
25,581,19,12,213
26,626,19,12,231
27,671,19,13,249
28,716,19,13,267
29,761,19,13,285
30,806,19,14,303
